Date,MHP_SWE_in
2021-10-01,0
2021-10-08,0
2021-10-15,1.1
2021-10-22,0.6
2021-10-29,2.9
2021-11-05,2
2021-11-12,2.9
2021-11-19,2.9
2021-11-26,2.9
2021-12-03,2.4
2021-12-10,3.3
2021-12-17,10.2
2021-12-24,14.2
2021-12-31,19.7
2022-01-07,20.4
2022-01-14,20.8
2022-01-21,20.8
2022-01-28,20.9
2022-02-04,28.8
2022-02-11,28.9
2022-02-18,28.9
2022-02-25,29.3
2022-03-04,29.3
2022-03-11,29.6
2022-03-18,29.9
2022-03-25,29.9
2022-04-01,29
2022-04-08,24.6
2022-04-15,23.5
2022-04-22,24.7
2022-04-29,25
2022-05-06,22.1
2022-05-13,19.6
2022-05-20,9.5
2022-05-27,0
2022-06-03,0
2022-06-10,0
2022-06-17,0
2022-06-24,0
2022-07-01,0
2022-07-08,0
2022-07-15,0
